# SAXS profile: number of points = 502, q_min = 0, q_max = 0.35, delta_q = 0.0007
#    q    intensity    error
0.16520000 342294.37500000 10240.07812500
0.16589999 334350.15625000 14229.77441406
0.16659999 326572.68750000 11494.05175781
0.16730000 318951.62500000 12077.90039062
0.16800000 311485.75000000 8685.78027344
0.16869999 304175.50000000 9291.34472656
0.16939999 297017.18750000 9110.11035156
0.17009999 290007.37500000 10420.25390625
0.17080000 283149.50000000 10945.14355469
0.17150000 276430.43750000 7867.90136719
0.17219999 269856.65625000 8413.05078125
0.17289999 263422.06250000 7558.50048828
0.17359999 257125.76562500 7407.53564453
0.17430000 250963.95312500 7918.91650391
0.17500000 244937.64062500 7112.98876953
0.17569999 239040.45312500 10137.22753906
0.17639999 233273.00000000 7448.87304688
0.17709999 227630.96875000 9121.74121094
0.17780000 222115.48437500 6552.85107422
0.17850000 216717.93750000 6418.64355469
0.17919999 211444.40625000 8573.01269531
0.17989999 206285.17187500 6717.05761719
0.18059999 201244.50000000 7126.46972656
0.18130000 196315.57812500 5905.07421875
0.18200000 191500.06250000 6308.01171875
0.18269999 186793.92187500 5147.10644531
0.18339999 182193.01562500 6047.35009766
0.18409999 177698.98437500 5427.19335938
0.18480000 173308.85937500 5796.14160156
0.18550000 169017.60937500 7565.22802734
0.18619999 164829.35937500 4628.40820312
0.18689999 160737.59375000 4530.38867188
0.18759999 156740.15625000 4434.17871094
0.18830000 152838.00000000 4339.83496094
0.18900000 149028.92187500 5096.78906250
0.18969999 145306.65625000 4987.79589844
0.19039999 141673.89062500 6101.18554688
0.19109999 138128.81250000 3980.18139648
0.19180000 134667.34375000 5452.41113281
0.19250000 131291.03125000 3810.72216797
0.19319999 127996.38281250 5219.94824219
0.19389999 124781.31250000 3647.98144531
0.19459999 121644.07031250 3925.94042969
0.19530000 118580.61718750 4189.92724609
0.19599999 115597.10156250 4099.07324219
0.19669999 112685.50781250 4010.02636719
0.19739999 109847.97656250 4249.79833984
0.19809999 107076.68750000 4796.76757812
0.19880000 104377.63281250 4066.65698242
0.19949999 101747.92187500 3672.08251953
0.20019999 99182.31250000  3292.65429688
0.20089999 96681.94531250  2928.01245117
0.20159999 94245.50781250  3150.53295898
0.20230000 91872.72656250  4482.65380859
0.20299999 89561.26562500  3014.63208008
0.20369999 87309.08593750  2680.82543945
0.20439999 85115.30468750  2884.64257812
0.20510000 82979.45312500  3334.90283203
0.20580000 80899.86718750  2509.51391602
0.20649999 78876.63281250  2946.04223633
0.20719999 76905.78125000  3122.29760742
0.20789999 74988.63281250  2349.76855469
0.20860000 73123.16406250  2528.89160156
0.20930000 71310.03125000  2249.47485352
0.20999999 69546.17968750  2421.25024414
0.21069999 67831.60937500  2800.19042969
0.21139999 66164.25000000  2740.39062500
0.21210000 64544.80859375  3507.39721680
0.21280000 62969.78125000  3029.16137695
0.21349999 61442.14062500  2174.59082031
0.21419999 59959.32421875  2516.13305664
0.21489999 58518.67968750  1895.12731934
0.21560000 57120.44921875  2412.59643555
0.21630000 55765.04296875  1999.42773438
0.21699999 54451.81250000  3205.03369141
0.21769999 53175.42187500  2267.74560547
0.21839999 51940.85546875  1709.37341309
0.21910000 50745.62109375  1675.36669922
0.21980000 49589.48046875  1970.88427734
0.22049999 48469.92968750  1771.45471191
0.22119999 47388.11328125  1579.44567871
0.22189999 46341.38281250  1704.36645508
