# SAXS profile: number of points = 502, q_min = 0, q_max = 0.35, delta_q = 0.0007
#    q    intensity    error
0.27019998 39609.98046875  2094.73413086
0.27089998 39635.20312500  2263.13037109
0.27159998 39671.57031250  2271.03857422
0.27230000 39714.66015625  1790.91271973
0.27300000 39766.23046875  1634.39208984
0.27370000 39823.72265625  2133.21752930
0.27440000 39889.63281250  1977.40881348
0.27509999 39961.55078125  2317.01049805
0.27579999 40042.28515625  1828.81115723
0.27649999 40128.77343750  2004.43212891
0.27719998 40222.84765625  1678.49938965
0.27789998 40323.88671875  2024.33959961
0.27859998 40431.40625000  2034.83166504
0.27930000 40544.73828125  2216.11450195
0.28000000 40665.18750000  2056.84521484
0.28070000 40791.55078125  2240.74096680
0.28140000 40924.37500000  1906.91210938
0.28209999 41061.91406250  2092.43286133
0.28279999 41207.23046875  2105.03002930
0.28349999 41356.02734375  1764.86840820
0.28419998 41511.81640625  2486.22558594
0.28489998 41672.21875000  2680.66943359
0.28559998 41838.92187500  2518.11718750
0.28630000 42011.14843750  3439.89379883
0.28700000 42185.99218750  2186.92187500
0.28770000 42367.25390625  2201.65673828
0.28839999 42553.89453125  2216.71752930
0.28909999 42743.58203125  2231.98437500
0.28979999 42939.06250000  2434.90234375
0.29049999 43137.76171875  2074.81835938
0.29119998 43341.66796875  1899.66516113
0.29189998 43547.92187500  2487.26123047
0.29259998 43759.62109375  2505.32568359
0.29330000 43973.58984375  2911.82128906
0.29400000 44191.22265625  2151.00781250
0.29470000 44412.47656250  2166.90698242
0.29539999 44637.07421875  1984.56433105
0.29609999 44865.98437500  2999.17871094
0.29679999 45095.60546875  2215.86279297
0.29749998 45329.21093750  2435.53833008
0.29819998 45565.34765625  3271.95629883
0.29889998 45803.58593750  2472.56909180
0.29959998 46043.71093750  2076.11083984
0.30030000 46285.64843750  2301.06787109
0.30100000 46531.23046875  2951.01074219
0.30170000 46778.25000000  2761.15625000
0.30239999 47025.64062500  2782.17797852
0.30309999 47274.48437500  2803.35327148
0.30379999 47526.63281250  3042.08447266
0.30449998 47777.75390625  2627.29858398
0.30519998 48032.53906250  2206.13427734
0.30589998 48285.76171875  2445.11840820
0.30659997 48539.81640625  2463.58959961
0.30730000 48794.69140625  2707.81250000
0.30800000 49051.93750000  2500.91308594
0.30870000 49306.82031250  2977.71289062
0.30939999 49563.28515625  2307.66650391
0.31009999 49819.41406250  2789.78735352
0.31079999 50075.05078125  3044.61303711
0.31149998 50331.71875000  3538.94873047
0.31219998 50586.71484375  2851.87646484
0.31289998 50840.12890625  3590.71093750
0.31360000 51094.87890625  2411.16748047
0.31430000 51346.59765625  2914.12475586
0.31500000 51598.17578125  3668.63037109
0.31569999 51849.15234375  2955.71264648
0.31639999 52098.79296875  3968.67749023
0.31709999 52345.67578125  3746.51074219
0.31779999 52592.27343750  3772.44360352
0.31849998 52836.31250000  4304.70605469
0.31919998 53078.82812500  4079.00146484
0.31989998 53320.98437500  3336.58691406
0.32060000 53558.17187500  2842.01074219
0.32130000 53795.12109375  3120.87011719
0.32200000 54029.36328125  3403.03930664
0.32269999 54259.55859375  3688.40185547
0.32339999 54488.73828125  2916.56420898
0.32409999 54714.64062500  3201.79125977
0.32479998 54938.17187500  3758.75976562
0.32549998 55158.71875000  2701.39819336
0.32619998 55376.33203125  3261.44433594
0.32689998 55589.64062500  3281.01147461
0.32760000 55801.87890625  4400.75927734
0.32830000 56008.49218750  3596.50122070
0.32900000 56212.30468750  3060.76000977
0.32969999 56413.50000000  3358.06982422
0.33039999 56611.31250000  4221.22216797
0.33109999 56804.13281250  3395.63720703
0.33179998 56993.87500000  3414.16088867
0.33249998 57180.07812500  3432.51977539
0.33319998 57361.13281250  4888.37255859
0.33389997 57539.78906250  4046.71557617
0.33460000 57712.51953125  4648.39697266
0.33530000 57880.98437500  3211.78686523
0.33600000 58048.19921875  5281.80566406
0.33669999 58208.75781250  3538.27758789
0.33739999 58365.23437500  3851.40502930
0.33809999 58517.81640625  3869.46118164
0.33879998 58665.67578125  3588.22729492
0.33949998 58809.44531250  3904.79980469
0.34019998 58947.81640625  4223.72851562
0.34089997 59081.47265625  3332.99243164
0.34160000 59211.10546875  4868.57373047
0.34230000 59335.58593750  4583.22900391
0.34299999 59454.78125000  4908.58642578
0.34369999 59571.51171875  3080.14501953
0.34439999 59682.03125000  4019.76367188
0.34509999 59787.85156250  3103.88623047
0.34579998 59889.22265625  3426.98095703
0.34649998 59984.56250000  3126.69506836
0.34719998 60076.39062500  4392.90576172
0.34789997 60163.23828125  3148.64282227
0.34860000 60243.38671875  4106.91210938
0.34930000 60320.76171875  4437.37597656
0.34999999 60393.61718750  5723.50292969
0.35069999 60460.12890625  3508.53149414
